This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/21/15 12:02:14

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-6.43,1.32,-1.02,3.17,+0.81%,($200.00),($7.50),($503.19)
APPLE INC COM,0,,.00,129.495,+1.045,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,28,6.45,14.70,+.95,-92.82,-1.03,2.14,-4.72,,($825.00),($95.00),
100 MAR 15 120 CALL,+1,28,3.80,10.05,+.875,86.39,2.35,-3.17,7.89,,$625.00,$87.50,
AMZN,,,,,,-10.12,.41,-6.63,26.90,+1.23%,($57.43),($58.99),$9.33
AMAZON.COM INC COM,0,,.00,383.66,+4.665,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 335 PUT,+1,56,2.73,2.155663,-.5899,-10.12,.41,-6.63,26.90,,($57.43),($58.99),
BABA,,,,,,11.80,3.03,-2.23,4.83,-0.29%,($162.50),($11.00),($6.15)
ALIBABA GROUP HLDG LTD ADR,0,,.00,86.64,-.25,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,28,1.99,.365,-.11,11.80,3.03,-2.23,4.83,,($162.50),($11.00),
CELG,,,,,,.00,.00,.00,.00,+2.68%,$0.00,$102.50,$0.00
CELGENE CORP COM,0,,.00,123.43,+3.22,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 125 CALL,0,56,.00,4.70,+1.075,.00,.00,.00,.00,,$0.00,$102.50,
EBAY,,,,,,-48.86,9.88,-1.11,4.28,+0.64%,($208.00),($32.00),($518.00)
EBAY INC COM,0,,.00,58.02,+.37,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,28,1.33,3.375,+.335,-164.45,-14.95,3.19,-8.51,,($409.00),($67.00),
100 MAR 15 57.5 CALL,+2,28,.53,1.535,+.175,115.58,24.83,-4.30,12.79,,$201.00,$35.00,
FB,,,,,,.00,.00,.00,.00,+0.60%,$0.00,$3.00,$0.00
FACEBOOK INC COM,0,,.00,79.895,+.475,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,0,28,.00,.27,-.055,.00,.00,.00,.00,,$0.00,($0.50),
100 MAR 15 77.5 PUT,0,28,.00,1.17,-.205,.00,.00,.00,.00,,$0.00,$3.50,
FSLR,,,,,,21.23,-1.67,1.48,-1.69,+1.26%,$33.50,$17.00,($337.07)
FIRST SOLAR INC COM,0,,.00,49.02,+.61,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,28,1.81,.885,-.205,-17.89,3.11,-3.77,3.61,,($92.50),($20.50),
100 MAR 15 47.5 PUT,-1,28,3.70,2.44,-.375,39.11,-4.78,5.25,-5.30,,$126.00,$37.50,
GLD,,,,,,25.67,4.08,-1.94,6.96,-0.57%,($209.00),($16.00),($2.60)
SPDR GOLD TR GOLD SHS ETF,0,,.00,115.28,-.66,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,28,4.35,.905,-.16,53.67,11.64,-6.48,21.41,,($689.00),($32.00),
100 MAR 15 122 CALL,-2,28,2.81,.41,-.08,-27.99,-7.56,4.54,-14.46,,$480.00,$16.00,
GREK,+600,,13.1733333,14.11,+1.29,600.00,.00,.00,.00,+10.06%,$562.00,$534.00,"$7,196.10"
GLOBAL X FUNDS GREECE 20 ETF,+600,,13.1733333,14.11,+1.29,600.00,.00,.00,.00,,$562.00,$534.00,
HD,,,,,,36.19,4.90,-2.35,16.59,+1.17%,($27.00),$27.50,($0.92)
HOME DEPOT INC COM,0,,.00,112.24,+1.30,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 115 CALL,+1,56,2.09,1.82,+.275,36.19,4.90,-2.35,16.59,,($27.00),$27.50,
KO,,,,,,143.89,77.21,-2.77,14.08,-0.33%,($63.00),($30.00),$5.81
COCA COLA CO COM,0,,.00,41.97,-.14,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,28,.78,.57,-.10,143.89,77.21,-2.77,14.08,,($63.00),($30.00),
NGE,+600,,8.39,8.305,+.075,600.00,.00,.00,.00,+0.91%,($51.00),$45.00,"$4,235.55"
GLOBAL X FUNDS MSCI NIGERIA ETF,+600,,8.39,8.305,+.075,600.00,.00,.00,.00,,($51.00),$45.00,
PG,,,,,,84.05,-8.87,1.04,-5.81,-0.40%,($4.50),($22.50),"$7,217.73"
PROCTER GAMBLE CO COM,+100,,85.74,84.87,-.34,100.00,.00,.00,.00,,($87.00),($34.00),
100 MAR 15 87.5 CALL,-1,28,1.05,.225,-.115,-15.95,-8.87,1.04,-5.81,,$82.50,$11.50,
RSX,,,,,,127.46,39.37,-2.82,12.32,+0.06%,($10.00),($10.00),$48.70
MARKET VECTORS RUSSIA,0,,.00,17.97,-.01,.00,.00,.00,.00,,$0.00,$0.00,
100 MAY 15 20 CALL,+4,84,.70,.675,-.075,127.46,39.37,-2.82,12.32,,($10.00),($10.00),
SNDK,,,,,,-87.04,-2.88,2.71,-4.93,+0.27%,($343.50),($17.50),"($9,498.70)"
SANDISK CORP COM,-100,,76.95,82.63,+.22,-100.00,.00,.00,.00,,($568.00),($22.00),
100 MAR 15 75 PUT,-1,28,2.74,.495,-.045,12.96,-2.88,2.71,-4.93,,$224.50,$4.50,
SPY,,,,,,-21.54,1.36,-.49,8.52,+0.60%,($44.50),($29.00),$20.75
SPDR TR S&P 500 ETF TR,0,,.00,211.239,+1.259,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 200 PUT,-1,56,2.42,1.795,-.37,21.11,-1.99,3.83,-24.15,,$62.50,$37.00,
100 APR 15 209 PUT,+1,56,4.85,3.78,-.66,-42.65,3.36,-4.32,32.66,,($107.00),($66.00),
TSLA,,,,,,8.16,-.23,1.21,-2.52,+2.55%,$107.50,$52.50,($152.50)
TESLA MOTORS INC COM,0,,.00,217.11,+5.405,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,28,13.95,15.875,+3.65,73.37,1.51,-12.44,20.09,,$192.50,$365.00,
100 MAR 15 210 CALL,-1,28,11.55,12.40,+3.125,-65.21,-1.74,13.64,-22.61,,($85.00),($312.50),
USLV,+100,,24.95,19.70,-.63,100.00,.00,.00,.00,-3.10%,($525.00),($63.00),"$1,674.50"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,19.70,-.63,100.00,.00,.00,.00,,($525.00),($63.00),
VXX,,,,,,16.44,3.84,-2.76,2.03,-3.55%,($216.00),($24.50),$11.79
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,29.05,-1.07,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,28,2.67,.51,-.245,16.44,3.84,-2.76,2.03,,($216.00),($24.50),
XOM,,,,,,-81.47,-4.74,2.72,-6.78,+0.54%,($84.00),($33.50),"($10,342.17)"
EXXON MOBIL CORPORATION COM,-100,,87.05,89.92,+.48,-100.00,.00,.00,.00,,($287.00),($48.00),
100 MAR 15 85 PUT,-1,28,2.62,.59,-.145,18.53,-4.74,2.72,-6.78,,$203.00,$14.50,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008407,+.000006,+0.01%,$225.00,$75.00,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,24,.008389,.008407,+.000006,,$225.00,$75.00,
/NG,,,+1,,2.839,2.939,-.012,+3.71%,"$1,000.00",($120.00),"($3,520.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,5,2.839,2.939,-.012,,"$1,000.00",($120.00),
/NQ,,,-1,,4153.50,4441.25,+3.25,+0.63%,"($5,755.00)",($65.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,28,4153.50,4441.25,+3.25,,"($5,755.00)",($65.00),
/QM,,,,,,,,-1.93%,"($3,287.50)",($392.50),"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,-1,44.55,51.125,+.785,,"($3,287.50)",($392.50),

