This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/7/15 06:00:48

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-17.94,.37,-.23,1.16,-0.84%,($15.00),$22.50,($469.13)
APPLE INC COM,0,,.00,118.93,-1.01,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,42,6.45,6.525,-.575,-65.14,-3.32,4.53,-15.05,,($7.50),$57.50,
100 MAR 15 120 CALL,+1,42,3.80,3.725,-.35,47.20,3.69,-4.76,16.21,,($7.50),($35.00),
BABA,,,,,,17.58,2.88,-2.70,7.60,-1.52%,($118.00),($19.00),($4.11)
ALIBABA GROUP HLDG LTD ADR,0,,.00,85.68,-1.32,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,42,1.99,.81,-.19,17.58,2.88,-2.70,7.60,,($118.00),($19.00),
BP,,,,,,82.32,7.24,.01,1.63,-0.51%,$27.00,($18.00),($207.00)
BP PLC SPONS ADR,0,,.00,41.17,-.21,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,42,1.01,1.115,-.19,304.54,86.30,-6.32,33.42,,$63.00,($114.00),
100 MAR 15 42 CALL,-6,42,.65,.71,-.16,-222.22,-79.05,6.33,-31.79,,($36.00),$96.00,
EBAY,,,,,,-47.20,-4.58,.93,-3.57,+0.39%,($5.00),($15.00),($479.09)
EBAY INC COM,0,,.00,54.50,+.21,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,42,1.33,1.30,+.115,-92.74,-20.81,3.56,-14.86,,$6.00,($23.00),
100 MAR 15 57.5 CALL,+2,42,.53,.475,+.04,45.54,16.23,-2.63,11.29,,($11.00),$8.00,
EWU,+200,,18.33,18.56,-.20,200.00,.00,.00,.00,-1.07%,$46.00,($40.00),"$3,155.20"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.56,-.20,200.00,.00,.00,.00,,$46.00,($40.00),
FB,,,,,,29.67,-.14,-.25,.27,-1.51%,($43.50),($37.00),($481.42)
FACEBOOK INC COM,0,,.00,74.47,-1.145,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,42,1.54,1.78,+.33,-36.51,5.57,-2.92,9.61,,$24.00,$33.00,
100 MAR 15 77.5 PUT,-1,42,3.70,4.375,+.70,66.18,-5.70,2.67,-9.34,,($67.50),($70.00),
FSLR,,,,,,19.72,-.74,.48,-.94,0.00%,($27.00),$2.00,($361.92)
FIRST SOLAR INC COM,0,,.00,46.90,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,42,1.81,2.015,-.03,-28.51,3.37,-3.95,5.47,,$20.50,($3.00),
100 MAR 15 47.5 PUT,-1,42,3.70,4.175,-.05,48.23,-4.11,4.44,-6.41,,($47.50),$5.00,
GE,,,,,,318.92,320.21,-3.93,29.89,+0.08%,$25.00,$15.00,($24.19)
