This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/11/15 05:31:02

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-17.68,1.05,-.89,3.47,+1.92%,($85.00),($47.50),($482.39)
APPLE INC COM,0,,.00,122.13,+2.41,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,38,6.45,8.375,+1.575,-77.42,-2.99,3.61,-11.94,,($192.50),($157.50),
100 MAR 15 120 CALL,+1,38,3.80,4.875,+1.10,59.75,4.04,-4.50,15.41,,$107.50,$110.00,
BABA,,,,,,19.51,3.38,-2.90,7.86,+1.47%,($114.50),$6.50,($5.69)
ALIBABA GROUP HLDG LTD ADR,0,,.00,87.26,+1.26,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,38,1.99,.845,+.065,19.51,3.38,-2.90,7.86,,($114.50),$6.50,
BP,,,,,,86.86,8.34,.15,1.35,-0.87%,$27.00,($42.00),($207.00)
BP PLC SPONS ADR,0,,.00,41.25,-.36,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,38,1.01,1.10,-.215,312.95,91.65,-6.58,31.86,,$54.00,($129.00),
100 MAR 15 42 CALL,-6,38,.65,.695,-.145,-226.09,-83.32,6.74,-30.51,,($27.00),$87.00,
EBAY,,,,,,-47.88,-1.85,.62,-1.73,+1.73%,($45.00),($47.00),($494.22)
EBAY INC COM,0,,.00,55.26,+.93,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,38,1.33,1.755,+.55,-108.33,-19.56,4.17,-14.33,,($85.00),($110.00),
100 MAR 15 57.5 CALL,+2,38,.53,.73,+.315,60.45,17.71,-3.55,12.60,,$40.00,$63.00,
EWU,+200,,18.33,18.58,+.07,200.00,.00,.00,.00,+0.38%,$50.00,$14.00,"$3,158.60"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.58,+.07,200.00,.00,.00,.00,,$50.00,$14.00,
FB,,,,,,32.39,-.77,-.09,-.45,+1.01%,($18.50),$26.00,($484.01)
FACEBOOK INC COM,0,,.00,75.16,+.72,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,38,1.54,1.33,-.365,-31.55,5.71,-2.81,8.74,,($21.00),($36.50),
100 MAR 15 77.5 PUT,-1,38,3.70,3.675,-.625,63.95,-6.48,2.72,-9.19,,$2.50,$62.50,
FSLR,,,,,,15.51,-.75,1.14,-1.35,+4.77%,$7.00,$54.50,($323.57)
FIRST SOLAR INC COM,0,,.00,49.80,+3.47,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,38,1.81,1.73,-.38,-21.95,2.44,-4.58,4.81,,($8.00),($38.00),
100 MAR 15 47.5 PUT,-1,38,3.70,3.55,-.925,37.46,-3.19,5.72,-6.17,,$15.00,$92.50,
GE,,,,,,377.22,360.62,-4.34,30.50,+0.32%,$70.00,$10.00,($32.52)
GENERAL ELECTRIC CO COM,0,,.00,24.72,+.08,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,+10,38,.20,.27,+.01,377.22,360.62,-4.34,30.50,,$70.00,$10.00,
GLD,,,,,,32.41,1.26,-.69,3.14,-0.59%,($86.00),($32.00),$19.09
SPDR GOLD TR GOLD SHS ETF,0,,.00,118.47,-.70,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,38,4.35,2.52,-.49,96.59,11.54,-7.14,30.86,,($366.00),($98.00),
100 MAR 15 122 CALL,-2,38,2.81,1.41,-.33,-64.18,-10.27,6.45,-27.72,,$280.00,$66.00,
IBM,,,,,,46.23,6.76,-6.52,31.52,+1.80%,$4.00,$78.00,($8.87)
INTL BUSINESS MACHINES COM,0,,.00,158.40,+2.65,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,+2,38,1.16,1.18,+.39,46.23,6.76,-6.52,31.52,,$4.00,$78.00,
JPM,,,,,,20.61,-5.92,.94,-4.03,+1.11%,$86.00,$14.20,($389.43)
JP MORGAN CHASE & CO COM,0,,.00,58.45,+.63,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,38,.76,.255,-.081,-20.56,7.14,-2.40,6.86,,($101.00),($16.20),
