This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/14/15 07:40:10

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-11.17,1.33,-1.34,4.52,+0.49%,($162.50),($10.00),($496.69)
APPLE INC COM,0,,.00,127.16,+.70,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,35,6.45,12.60,+.55,-89.23,-1.69,2.42,-7.24,,($615.00),($55.00),
100 MAR 15 120 CALL,+1,35,3.80,8.325,+.45,78.06,3.02,-3.75,11.76,,$452.50,$45.00,
BABA,,,,,,22.81,3.91,-3.26,8.41,+2.24%,($101.00),$26.00,$1.33
ALIBABA GROUP HLDG LTD ADR,0,,.00,88.67,+1.57,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,35,1.99,.98,+.26,22.81,3.91,-3.26,8.41,,($101.00),$26.00,
BP,,,,,,71.84,-4.57,.11,-1.14,+1.43%,$135.00,$45.00,($99.00)
BP PLC SPONS ADR,0,,.00,41.94,+.60,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,35,1.01,1.78,+.305,362.78,68.90,-9.17,30.14,,$462.00,$183.00,
100 MAR 15 42 CALL,-6,35,.65,1.195,+.23,-290.94,-73.47,9.28,-31.28,,($327.00),($138.00),
EBAY,,,,,,-54.40,2.45,-.02,.85,+3.17%,($111.00),($102.00),($503.21)
EBAY INC COM,0,,.00,56.47,+1.735,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,35,1.33,2.31,+.955,-134.08,-19.67,3.75,-12.83,,($196.00),($191.00),
100 MAR 15 57.5 CALL,+2,35,.53,.955,+.445,79.68,22.11,-3.77,13.68,,$85.00,$89.00,
EWU,+200,,18.33,18.91,+.09,200.00,.00,.00,.00,+0.48%,$116.00,$18.00,"$3,214.70"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.91,+.09,200.00,.00,.00,.00,,$116.00,$18.00,
FB,,,,,,33.90,-1.29,.21,-1.22,-0.64%,($3.00),($15.50),($486.54)
FACEBOOK INC COM,0,,.00,75.72,-.51,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,35,1.54,1.01,+.06,-27.17,5.70,-2.66,7.89,,($53.00),$6.00,
100 MAR 15 77.5 PUT,-1,35,3.70,3.20,+.215,61.07,-7.00,2.86,-9.11,,$50.00,($21.50),
FSLR,,,,,,20.29,-1.10,1.39,-1.63,-1.17%,$1.50,($24.50),($351.49)
FIRST SOLAR INC COM,0,,.00,48.84,-.58,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,35,1.81,1.125,-.10,-20.08,3.07,-3.54,4.31,,($68.50),($10.00),
100 MAR 15 47.5 PUT,-1,35,3.70,3.00,+.145,40.37,-4.18,4.93,-5.94,,$70.00,($14.50),
GE,,,,,,547.07,452.91,-3.93,30.96,+1.04%,$205.00,$120.00,($77.23)
GENERAL ELECTRIC CO COM,0,,.00,25.15,+.26,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,+10,35,.20,.405,+.12,547.07,452.91,-3.93,30.96,,$205.00,$120.00,
GLD,,,,,,34.28,2.20,-.97,4.55,+0.55%,($114.00),$15.00,$12.56
SPDR GOLD TR GOLD SHS ETF,0,,.00,117.98,+.64,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,35,4.35,2.01,+.12,89.38,12.80,-6.85,29.29,,($468.00),$24.00,
