This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/10/15 07:12:28

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-19.21,.65,-.47,1.98,+0.66%,($37.50),($22.50),($472.98)
APPLE INC COM,0,,.00,119.88,+.95,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,39,6.45,6.80,+.275,-69.68,-3.44,4.18,-13.82,,($35.00),($27.50),
100 MAR 15 120 CALL,+1,39,3.80,3.775,+.05,50.47,4.09,-4.65,15.80,,($2.50),$5.00,
BABA,,,,,,17.64,3.02,-2.79,7.39,+0.37%,($121.00),($3.00),($7.45)
ALIBABA GROUP HLDG LTD ADR,0,,.00,86.15,+.47,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,39,1.99,.78,-.03,17.64,3.02,-2.79,7.39,,($121.00),($3.00),
BP,,,,,,90.75,3.57,.50,-.46,+1.07%,$69.00,$42.00,($165.00)
BP PLC SPONS ADR,0,,.00,41.66,+.49,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 41 CALL,+6,39,1.01,1.315,+.20,350.47,91.34,-6.09,31.80,,$183.00,$120.00,
100 MAR 15 42 CALL,-6,39,.65,.84,+.13,-259.71,-87.76,6.59,-32.26,,($114.00),($78.00),
EBAY,,,,,,-47.24,-5.18,1.13,-3.88,-0.31%,$2.00,$7.00,($478.59)
EBAY INC COM,0,,.00,54.33,-.17,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 55 CALL,-2,39,1.33,1.205,-.095,-89.00,-21.00,3.75,-14.21,,$25.00,$19.00,
100 MAR 15 57.5 CALL,+2,39,.53,.415,-.06,41.75,15.81,-2.62,10.33,,($23.00),($12.00),
EWU,+200,,18.33,18.51,-.05,200.00,.00,.00,.00,-0.27%,$36.00,($10.00),"$3,146.70"
ISHARES TRUST MSCI UNITED KINGDOM ETF,+200,,18.33,18.51,-.05,200.00,.00,.00,.00,,$36.00,($10.00),
FB,,,,,,30.41,-.11,-.24,.25,-0.04%,($44.50),($1.00),($485.86)
FACEBOOK INC COM,0,,.00,74.50,+.03,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,39,1.54,1.695,-.085,-36.06,5.71,-3.03,9.23,,$15.50,($8.50),
100 MAR 15 77.5 PUT,-1,39,3.70,4.30,-.075,66.47,-5.82,2.79,-8.98,,($60.00),$7.50,
FSLR,,,,,,20.30,-.55,.51,-.76,-1.22%,($47.50),($20.50),($382.08)
FIRST SOLAR INC COM,0,,.00,46.33,-.57,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,39,1.81,2.11,+.095,-30.25,3.58,-4.22,5.35,,$30.00,$9.50,
100 MAR 15 47.5 PUT,-1,39,3.70,4.475,+.30,50.55,-4.13,4.73,-6.11,,($77.50),($30.00),
GE,,,,,,355.54,336.76,-4.39,30.20,+0.49%,$60.00,$35.00,($14.87)
GENERAL ELECTRIC CO COM,0,,.00,24.64,+.12,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,+10,39,.20,.26,+.035,355.54,336.76,-4.39,30.20,,$60.00,$35.00,
GLD,,,,,,31.21,.54,-.60,2.02,+0.45%,($54.00),$21.00,$32.26
SPDR GOLD TR GOLD SHS ETF,0,,.00,118.98,+.34,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,39,4.35,3.01,+.145,102.66,10.59,-7.59,31.40,,($268.00),$29.00,
100 MAR 15 122 CALL,-2,39,2.81,1.74,+.04,-71.44,-10.05,6.98,-29.38,,$214.00,($8.00),
IBM,,,,,,32.86,5.30,-5.41,25.55,-0.62%,($74.00),($47.00),($26.50)
INTL BUSINESS MACHINES COM,0,,.00,155.78,-.94,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,+2,39,1.16,.79,-.235,32.86,5.30,-5.41,25.55,,($74.00),($47.00),
JPM,,,,,,24.40,-6.26,.90,-4.12,-0.12%,$71.80,$4.80,($405.43)
JP MORGAN CHASE & CO COM,0,,.00,57.82,-.07,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,39,.76,.336,-.004,-25.81,8.42,-2.74,8.07,,($84.80),($0.80),
100 MAR 15 55 PUT,-2,39,1.46,.677,-.028,50.21,-14.69,3.64,-12.19,,$156.60,$5.60,
KO,,,,,,113.70,45.87,-3.21,15.54,-0.53%,($43.50),($7.50),($11.29)
COCA COLA CO COM,0,,.00,41.26,-.19,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,39,.78,.635,-.025,113.70,45.87,-3.21,15.54,,($43.50),($7.50),
PG,,,,,,74.28,-8.20,1.42,-9.07,-0.65%,($23.50),($37.00),"$7,233.19"
PROCTER GAMBLE CO COM,+100,,85.74,85.05,-.56,100.00,.00,.00,.00,,($69.00),($56.00),
100 MAR 15 87.5 CALL,-1,39,1.05,.595,-.19,-25.72,-8.20,1.42,-9.07,,$45.50,$19.00,
SNDK,,,,,,-61.42,-4.99,3.74,-9.73,-0.73%,$58.00,$46.00,"($8,865.08)"
SANDISK CORP COM,-100,,76.95,76.91,-.565,-100.00,.00,.00,.00,,$4.00,$56.50,
100 MAR 15 75 PUT,-1,39,2.74,2.20,+.105,38.58,-4.99,3.74,-9.73,,$54.00,($10.50),
SPY,,,,,,16.14,-.87,.37,-4.31,-0.45%,$64.50,($22.50),($524.72)
SPDR TR S&P 500 ETF TR,0,,.00,204.93,-.62,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,39,4.43,2.79,+.265,-95.60,8.22,-18.09,72.60,,($492.00),$79.50,
100 MAR 15 201 PUT,-3,39,5.18,3.325,+.34,111.74,-9.09,18.46,-76.91,,$556.50,($102.00),
TSLA,,,,,,5.86,-.04,1.27,-1.60,+0.06%,$27.50,($45.00),($232.50)
TESLA MOTORS INC COM,0,,.00,217.48,+.12,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,39,13.95,20.30,0,67.71,1.06,-15.26,25.84,,$635.00,$0.00,
100 MAR 15 210 CALL,-1,39,11.55,17.625,+.45,-61.85,-1.10,16.54,-27.44,,($607.50),($45.00),
USLV,+100,,24.95,23.00,+1.00,100.00,.00,.00,.00,+5.23%,($195.00),$100.00,"$1,955.00"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,23.00,+1.00,100.00,.00,.00,.00,,($195.00),$100.00,
VXX,,,,,,45.90,4.04,-4.88,4.53,+0.50%,$25.00,$25.50,$107.36
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,34.49,+.19,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,39,2.67,2.92,+.255,45.90,4.04,-4.88,4.53,,$25.00,$25.50,
XOM,,,,,,-82.89,-3.53,2.40,-7.71,+0.07%,($257.50),$0.50,"($10,530.49)"
EXXON MOBIL CORPORATION COM,-100,,87.05,91.56,+.06,-100.00,.00,.00,.00,,($451.00),($6.00),
100 MAR 15 85 PUT,-1,39,2.62,.685,-.065,17.11,-3.53,2.40,-7.71,,$193.50,$6.50,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/NG,,,+1,,2.68,2.615,+.018,+0.69%,($650.00),$180.00,"($4,235.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,16,2.68,2.615,+.018,,($650.00),$180.00,
/NQ,,,-1,,4153.50,4220.50,+6.25,+0.15%,"($1,340.00)",($125.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,39,4153.50,4220.50,+6.25,,"($1,340.00)",($125.00),
/QM,,,-1,,44.55,52.45,-.41,-0.76%,"($3,950.00)",$205.00,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,10,44.55,52.450,-.41,,"($3,950.00)",$205.00,
/ZW,,,0,,.00,528.75,-1.00,-0.09%,$0.00,$0.00,$0.00
"Wheat Futures,Mar-2015,ETH",MAR2 15,1/50,0,32,.00,528.75,-1.00,,$0.00,$0.00,

Cash & Sweep Vehicle,"$46,636.29"
OVERALL P/L YTD,"($4,858.70)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$25,617.96"
AVAILABLE DOLLARS,"$25,617.96"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.054476,1.056275,+.005325,0.00%,$45.93,$36.93,($379.24)
AusDollar/Singapore Dollar Spot,+10000,1.054476,1.056275,+.005325,,$45.93,$36.93,
HKD/JPY,+10000,15.3623,15.29985,-.0215,0.00%,($5.84),($2.30),($134.73)
HKDollar/Japanese Yen Spot,+10000,15.3623,15.29985,-.0215,,($5.84),($2.30),
USD/JPY,+10000,119.0989,118.6265,-.161,+0.01%,($111.64),($14.46),($240.71)
USDollar/Japanese Yen Spot,+10000,119.0989,118.6265,-.161,,($111.64),($14.46),
USD/SEK,0,.00,8.36575,-.0294,0.00%,$0.00,$0.00,$0.00
USDollar/Swedish Krona Spot,0,.00,8.36575,-.0294,,$0.00,$0.00,
USD/THB,0,.00,32.593,-.032,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.593,-.032,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,385.69"
AVAILABLE DOLLARS,"$9,131.01"
