This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/20/15 12:10:29

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,,-7.85,1.38,-1.07,3.50,-0.21%,($192.50),$2.50,($504.50)
APPLE INC COM,0,,.00,128.45,-.265,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 115 CALL,-1,29,6.45,13.75,-.30,-91.43,-1.32,2.42,-5.56,,($730.00),$30.00,
100 MAR 15 120 CALL,+1,29,3.80,9.175,-.275,83.58,2.70,-3.49,9.05,,$537.50,($27.50),
AMZN,,,,,,-12.41,.48,-7.51,31.00,+1.51%,$3.14,$3.14,$14.06
AMAZON.COM INC COM,0,,.00,378.995,+5.625,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 335 PUT,+1,57,2.73,2.761398,-.751666,-12.41,.48,-7.51,31.00,,$3.14,$3.14,
BABA,,,,,,13.99,3.22,-2.57,5.54,+0.17%,($151.50),($5.50),($6.26)
ALIBABA GROUP HLDG LTD ADR,0,,.00,86.89,+.15,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 95 CALL,+1,29,1.99,.475,-.055,13.99,3.22,-2.57,5.54,,($151.50),($5.50),
CELG,,,,,,39.19,2.75,-4.66,18.40,+1.52%,$2.50,$2.50,$22.64
CELGENE CORP COM,0,,.00,120.21,+1.80,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 125 CALL,+1,57,3.60,3.625,+.525,39.19,2.75,-4.66,18.40,,$2.50,$2.50,
EBAY,,,,,,-54.05,8.07,-1.14,3.93,+1.32%,($176.00),($46.00),($486.00)
EBAY INC COM,0,,.00,57.65,+.75,.00,.00,.00,.00,,$0.00,$0.00,
